,Message
Link:LinksNotSequential,Dynamic links cannot be reordered sequentially
Model:CannotCatInOtherDim,Cannot concatenate model objects other than horizontally; use horizontal concatenation to merge models into multiple parameter variants.
Model:CannotChangeSteadyShocks,Steady levels for shocks cannot be changed from zero: %s 
Model:CannotSteadyLinear,Cannot compute linear steady state because first-order solution is not available: %s
Model:CannotLoadFromMatFile,Cannot load model object from MAT file. Recreated model object from its model file.
Model:CannotSetNonzeroCorr, Nonzero correlation between measurement and transition shocks is not allowed. 
Model:InvalidAssignFlag,Invalid assignment flag: %s
Model:InvalidName,This is not a valid %1name in the model object: %s 
Model:LogVariableZeroSteady,Steady state for this log variable is numerically close to zero: %s 
Model:NotDifferenceStationary,Model is not difference stationary; some steady-state growth rates are not fixed numbers: %s
Model:ParameterNotAssigned,This parameter is not assigned: %s 
Model:Postparser:DynamicEquationEmpty,Dynamic part of this equation is empty: %s 
Model:Postparser:ExogenousInOtherThanDtrend,Exogenous variables allowed only in deterministic trends: %s 
Model:Postparser:LeadOfTransitionInMeasurement,Leads of transition variables not allowed in measurement equations: %s 
Model:Postparser:MeasurementShift,Lags or leads of measurement variables not allowed in any equations: %s 
Model:Postparser:MeasurementShockInTransition,Measurement shocks not allowed in transition equations: %s 
Model:Postparser:MeasurementVariableInTransition,Measurement variables not allowed in transition equations: %s 
Model:Postparser:MisplacedSteadyReference,Misplaced or invalid steady reference in this equation: %s 
Model:Postparser:MisplacedTimeSubscript,Misplaced or invalid time subscript in this equation: %s
Model:Postparser:NameCannotBeNonnegative,This name cannot be declared as nonnegative: %s 
Model:Postparser:NoCurrentDateInDynamic,No current date for this variable in dynamic equations: %s 
Model:Postparser:NoCurrentDateInSteady,No current date for this variable in steady equations: %s 
Model:Postparser:NoCurrentMeasurement,No current dated measurement variable in this measurement equation: %s 
Model:Postparser:NoMeasurementVariableInDynamic,No measurement variable in this dynamic equation: %s 
Model:Postparser:NoMeasurementVariableInSteady,No measurement variable in this steady equation: %s 
Model:Postparser:NoTransitionEquation,No transition equation found in model file.
Model:Postparser:NoTransitionVariable,No transition variable found in model file.
Model:Postparser:NoTransitionVariableInDynamic,No transition variable in this dynamic equation: %s 
Model:Postparser:NoTransitionVariableInSteady,No transition variable in this steady equation: %s 
Model:Postparser:NumberMeasurementEquationsVariables,Number of measurement equations [%g] does not match number of measurement variables [%g].
Model:Postparser:NumberTransitionEquationsVariables,Number of transition equations [%g] does not match number of transition variables [%g].
Model:Postparser:OtherThanParameterExogenousInDtrend,RHS of this dtrend equation includes names other than parameters or exogenous variables: %s 
Model:Postparser:ParameterShift,Lags or leads of parameters not allowed in any equations: %s 
Model:Postparser:PrefixMultiplier,This name starts with a prefix reserved for lagrange multipliers in optimal policy models; change the name: %s 
Model:Postparser:ReportingNameConflict,This LHS reporting variable name conflicts with existing model name: %s 
Model:Postparser:ShockShift,Lag or lead of shock(s) in this equation: %s 
Model:Postparser:SstateRefInDtrend,Steady references not allowed in deterministic trends: %s 
Model:Postparser:SstateRefInLinear,Steady references in linear models will result in errors unless functions solve( ) and sstate( ) are called with option Linear=false: %s 
Model:Postparser:SstateRefInLink,Steady references not allowed in dynamic links: %s 
Model:Postparser:SyntaxError,Syntax error in this equation: %s \n\tUncle says: %s
Model:Postparser:TransitionShockInMeasurement,This measurement equation includes transition shock(s): %s 
Model:CannotLoadFromMat,Cannot load model objects created in older versions of the IRIS Toolbox (prior to %s). Rebuild the model object from its model file.
Model:InconsistentParamData,Number of parameter variants [%g] is not consistent with number of data variants [%g]
Model:IndexExceedsVariants,Index exceeds the number of parameter variants: %s
Model:InvalidShockName,This is not a valid shock name: %s 
Model:InvalidVariantName,Cannot find parameter variant with this name: %s
Model:MissingInitCond,This initial value is missing from input database: %s 
Model:NoMeasurementData,No data for measurement variables found in input database: %s
Model:NoMeasurementVariables, This model has no measurement variables.
Model:RedundantParameter,This parameter does not occur in any model equation: %s 
Model:RedundantShock,This shock does not occur in any model equation: %s 
Model:SolutionNotAvailable,Model solution(s) not available: %s
Model:SteadyNotAvailable,Steady state is not available for this variable: %s 
Model:SteadyErrorInDynamic,Steady-state values not consistent with this dynamic equation %s: %s
Model:SteadyErrorInSteady,Steady-state values not consistent with this steady equation %s: %s
Model:TrollifyInvalidName,Cannot trollify model because this name is not alllowed in TROLL/FAME: %s
Model:UnknownInputData,Invalid format of input data.
Model:ZeroVarianceFactor,Common variance factor estimate is zero because all observations match their one-step-ahead predictions; run Kalman filter with Relative=false instead: %s 
Obsolete:KeywordUseInstead,"The keyword %s is obsolete, and will be removed from IRIS in a future version. Use %s instead."
Obsolete:ObsoleteMatFile,"The model object in this MAT file was saved by an older, incompatible IRIS. It will no be possible to load it in a future version. Rebuild the model object from its model file."
Obsolete:OptionUseInstead,"The option %s= is obsolete, and will be removed from IRIS in a future version. Use %s= instead."
Obsolete:RexpFlag,"The '-rexp' flag is not supported any more; use a rexp( ) wrapper instead"
Options:FailsValidation,Value assigned to option %s= fails validation: %s
Options:InvalidObsolete,Invalid or obsolete option: %s=
Pairing:InvalidNamesInDynamicAutoexog,This is not a valid pair of names for dynamic autoexog: %s 
Pairing:InvalidNamesInSteadyAutoexog,This is not a valid pair of names for steady autoexog: %s 
Pairing:MultipleLhsAutoexog,This name is autoexogenized more than once: %s 
Pairing:MultipleRhsAutoexog,This name is autoendogenized more than once: %s 
Preparser:CannotCloseFile,Cannot close this file after reading: %s 
Preparser:CannotFindFile,Cannot find this file: %s 
Preparser:CannotOpenFile,Cannot open this file for reading: %s 
Preparser:CannotSave,Cannot save preparsed code to disk file: %s 
Preparser:CloneStringInvalid,This is not a valid clone string: %s 
Preparser:CtrlEvalCaseFailed,"Error evaluating this !case expression; proceeding to next !case, !otherwise or !end: %s "
Preparser:CtrlEvalIfFailed,Error evaluating this !if or !elseif condition; assuming false instead: %s 
Preparser:CtrlEvalSwitchFailed,Error evaluating this !switch expression; proceeding to !otherwise or !end: %s 
Preparser:CtrlForMultipleDo,This !for block contains multiple !do keywords: %s 
Preparser:CtrlLeftover,This leftover code found in !switch block: %s 
Preparser:CtrlMissingEnd,No matching !end found for this control command: %s 
Preparser:CtrlMissingFileName,Missing or invalid name for this exportable file: %s 
Preparser:CtrlObsoleteUpperLower,This is obsolete syntax for control variables in !for blocks: %s 
Preparser:CtrlUnfinishedCondition,This control condition or expression is unfinished: %s 
Preparser:ErrorPreparsing,%s
Preparser:PseudofuncSecondInputFailed,Second input argument to this pseudofunction failed to evaluate to a scalar number: %s 
Preparser:PseudofuncUnfinished,No matching closing braket found for this pseudofunction: %s 
Preparser:InterpEvalFailed,Error evaluating this pseudosubstitution: %s 
Preparser:InvalidDoubledotPattern,This is not a valid double-dot pattern: %s 
Preparser:SubsLeftover,This leftover code found in !substitution block: %s 
Preparser:SubsNameMultiple,This substitution name is defined more than once: %s 
Preparser:SubsUndefined,This substitution is not defined: %s 
Quantity:CannotUnlog,Cannot unlog this name: %s 
Quantity:InvalidNameInCurrentContext,This is not a valid input name in the current context: %s 
Quantity:InvalidStdCorrInLink,This is not a valid std_ or corr_ name in a !links equation: %s 
Quantity:UserSelectionMustCharCellstr,User selection of names must be cellstr or char
Report:InvalidLegendEntries,Invalid legend entries
RptEq:InvalidLhs,Invalid LHS name in this reporting equation: %s 
RptEq:RhsNameDataNotFound,This name is not found in input database: %s 
RptEq:RhsNameDataInvalid,Input data for this name are invalid: %s 
RptEq:SteadyRefNotFoundInModel,Name of this steady-state reference is not found in model: %s 
Series:BinopSizeMismatch,The size of the resulting Series object must match the size of one of the input Series objects.
Series:InputsRemovedFromCat,Inputs other than time series and numeric removed from concatenation.
Series:InvalidCommentSize,Invalid size of comment array assigned to time series. 
Series:CannotCatMixedFrequencies,Cannot concatenate time series with different date frequencies.
Series:FrequencyMismatch,Date frequency mismatch: %s 
Solver:SteadyGradientRequestedButNotPrepared, Steady-state gradient requested but not prepared; use option PrepareGradient=true
Steady:BothUnlogLogminus,This name is used in both Unlog= and LogMinus= options: %s 
Steady:CannotFix,Cannot fix this name: %s 
Steady:ExogenousNan,This parameter or exogenized variable is not assigned: %s 
Steady:InvalidLogminus,This name cannot be used in LogMinus= option: %s 
Steady:InvalidUnlog,This name cannot be used in Unlog= option: %s 
Steady:StructuralSingularity,System of steady equations is structurally singular.
Steady:WrongSignGrowthBounds,Invalid lower and/or upper bound for steady-state growth of this variable: %s 
Steady:WrongSignLevelBounds,Invalid lower and/or upper bound for steady-state level of this variable: %s 
Steady:LevelFixedToNan,Level of this variable fixed to NaN: %s
Steady:GrowthFixedToNan,Growth of this variable fixed to NaN: %s
Steady:EvaluatesToNan,This steady equation evaluates to NaN or Inf: %s
SystemPriors:ErrorParsingDefinition,Error parsing this definition string: %s 
SystemPriors:InvalidColumn,This is not a valid column name: %s 
SystemPriors:InvalidName,This is not a valid parameter or steady-state name: %s 
SystemPriors:InvalidPriorFunction,This is not a valid system prior function name: %s 
SystemPriors:InvalidRow,This is not a valid row name: %s 
SystemPriors:LowerUpperBound,Lower bound (%g) must be lower than upper bound (%g).
TheParser:EmptyEquation,"This equation is empty, and will be removed: %s "
TheParser:EmptyLhsOrRhs, LHS or RHS of this equation is empty: %s 
TheParser:EssentialBlocksMissing,Cannot find a nonempty %s block; this is not a valid source file.
TheParser:InconsistentAllBut,The keyword !all_but may be used in either all or none of the !log_variables declaration blocks.
TheParser:InvalidBounds,This is not a valid lower-upper bounds specification: %s 
TheParser:InvalidKeyword,This is not a valid keyword: %s 
TheParser:InvalidLogNameDeclared,This name cannot be declared as log: %s 
TheParser:InvalidName,This is not a valid name: %s 
TheParser:InvalidPairingDefinition,This is not a valid pairing definition: %s 
TheParser:InvalidStdCorrAssigned,This is not a valid std_ or corr_ name to assign: %s 
TheParser:ReservedPrefixDeclared,Cannot declare name starting with a reserved prefix: %s 
TheParser:InvalidTimeSubscript,Invalid lag or lead: %s 
TheParser:MutlipleNames,This name is declared multiple times: %s 
TheParser:ReservedName,This is a reserved name in IRIS and cannot be used as a name in models: %s 
TheParser:StdNameWithDoubleUnderscore,Names of shocks cannot include double underscores: %s 
VAR:CannotEstimateEmptyVar,Cannot estimate VAR object with no variables.
VAR:CannotInfRangeInPanel,Cannot use Inf for input range in panel VAR estimation.
VAR:GroupNotInputData,This group is not contained in the input database: %s 
